,col_name,feature_importance_vals
396,Number of cogs,1.523117908554202
1037,DERAILLEUR_HANGER,1.256019043649406
2339,Handlebar style OHCLASS: 1,1.250988129671143
1972,Dropout spacing style OHCLASS: 2,1.1489417837247822
2129,Fork type OHCLASS: 0,1.0692003167550774
2130,Fork type OHCLASS: 1,1.0648786143309248
1971,Dropout spacing style OHCLASS: 1,1.0644094549658851
911,THRU_AXLE,0.9350104614816338
778,Display FENDERS,0.869584242491196
1357,MATERIAL OHCLASS: STEEL,0.7999994735327178
2296,DROPOUT STYLE OHCLASS: SOCKET_STYLE_DROPOUT,0.7871435461487363
842,FRONTBRAKE_INCLUDE,0.7806357721118963
1973,Dropout spacing style OHCLASS: 3,0.7050617852592252
2332,Gearing analysis OHCLASS: 1,0.6947567761917697
2338,Handlebar style OHCLASS: 0,0.6917894852802551
556,REARBRAKE_INCLUDE,0.6521575390071318
470,Fork straight blade,0.6010603941067411
2232,Pedal style OHCLASS: 2,0.5849601487387133
985,Number of chainrings,0.563908585331479
235,Seat tube length,0.5495326546731271
923,FRONTROTOR_INCLUDE,0.5486134723836881
1344,STEM1_MM_RATIO OHCLASS: 1,0.5469079394463415
442,Rear Fender include,0.5388203181377413
1213,HBAR type OHCLASS: Generic ergo drop,0.5337377598421649
1057,nSSAUXCY3,0.5247104616701712
2308,Fit scheme OHCLASS: Road,0.5203314241215424
2215,REARbrake type OHCLASS: Generic V-Brake,0.5203189117916825
153,Wheel width rear,0.5201619150769639
681,SAME_SIZED_FRONT_AND_REAR,0.5157947306228603
398,FRONTDiscTabIsPost,0.5057910363503237
2334,Gearing analysis OHCLASS: 3,0.4950590691986406
2307,Fit scheme OHCLASS: MTB,0.4934681193313434
2279,HEADSETprofile OHCLASS: 0,0.4895814776997383
1257,Rack type OHCLASS: Sample 2 support,0.4779275136810108
397,FEND_aux,0.46841869719514817
2281,HEADSETprofile OHCLASS: 2,0.4619219077189277
2163,Hand position OHCLASS: 1,0.46131775391155533
72,nCSAUXCY3,0.4612523590400021
2043,dropoutInsert OHCLASS: DR4005_DR4009,0.45761053481015124
2393,bottle DOWNTUBE0 show OHCLASS: False,0.4466189313842984
999,FRONTROTORFP,0.4428798960406914
880,nCSSIDECrad3,0.43986603229609383
1332,FRONTbrake type OHCLASS: Generic caliper,0.43843760487865924
1290,HEADTUBEtype OHCLASS: Paragon 105mm tapered,0.4375696039993028
1185,REARDiscTabIsPost,0.43622498646205493
924,LWequalsOL,0.4338165884094422
1343,STEM1_MM_RATIO OHCLASS: 0,0.42909434832353377
137,FRONTCALPRY,0.4282395365060769
1065,Wheel width front,0.42490438457164614
2080,REARdiscB type OHCLASS: Generic 160mm I.S.,0.42409148088039467
2141,EYELETS OHCLASS: 2,0.4237408810722591
718,SEATSTAYbrdgCheck,0.4205534206529414
